Time resolution is 1 ps
Time=0 | rst=0 | sw=ace1 | op=xxxx
Time=10000 | rst=1 | sw=ace1 | op=ace1
Time=20000 | rst=0 | sw=ace1 | op=ace1
Time=25000 | rst=0 | sw=ace1 | op=59c3
Time=35000 | rst=0 | sw=ace1 | op=b387
Time=45000 | rst=0 | sw=ace1 | op=670f
Time=55000 | rst=0 | sw=ace1 | op=ce1e
Time=65000 | rst=0 | sw=ace1 | op=9c3c
Time=75000 | rst=0 | sw=ace1 | op=3879
Time=85000 | rst=0 | sw=ace1 | op=70f2
Time=95000 | rst=0 | sw=ace1 | op=e1e4
Time=105000 | rst=0 | sw=ace1 | op=c3c8
Time=115000 | rst=0 | sw=ace1 | op=8791
Time=125000 | rst=0 | sw=ace1 | op=0f22
Time=135000 | rst=0 | sw=ace1 | op=1e45
Time=145000 | rst=0 | sw=ace1 | op=3c8a
Time=155000 | rst=0 | sw=ace1 | op=7915
Time=165000 | rst=0 | sw=ace1 | op=f22a
Time=175000 | rst=0 | sw=ace1 | op=e455
Time=185000 | rst=0 | sw=ace1 | op=c8ab
Time=195000 | rst=0 | sw=ace1 | op=9157
Time=205000 | rst=0 | sw=ace1 | op=22ae
Time=215000 | rst=0 | sw=ace1 | op=455d
Time=220000 | rst=0 | sw=1234 | op=455d
Time=225000 | rst=0 | sw=1234 | op=8abb
Time=230000 | rst=1 | sw=1234 | op=1234
Time=240000 | rst=0 | sw=1234 | op=1234
Time=245000 | rst=0 | sw=1234 | op=2469
Time=255000 | rst=0 | sw=1234 | op=48d2
Time=265000 | rst=0 | sw=1234 | op=91a4
Time=275000 | rst=0 | sw=1234 | op=2348
Time=285000 | rst=0 | sw=1234 | op=4691
Time=295000 | rst=0 | sw=1234 | op=8d23
Time=305000 | rst=0 | sw=1234 | op=1a46
Time=315000 | rst=0 | sw=1234 | op=348d
Time=325000 | rst=0 | sw=1234 | op=691b
Time=335000 | rst=0 | sw=1234 | op=d237
Time=345000 | rst=0 | sw=1234 | op=a46e
Time=355000 | rst=0 | sw=1234 | op=48dd
Time=365000 | rst=0 | sw=1234 | op=91ba
Time=375000 | rst=0 | sw=1234 | op=2374
Time=385000 | rst=0 | sw=1234 | op=46e9
Time=395000 | rst=0 | sw=1234 | op=8dd3
Time=405000 | rst=0 | sw=1234 | op=1ba6
Time=415000 | rst=0 | sw=1234 | op=374d
Time=425000 | rst=0 | sw=1234 | op=6e9b
Time=435000 | rst=0 | sw=1234 | op=dd36
Time=440000 | rst=0 | sw=0000 | op=dd36
Time=445000 | rst=0 | sw=0000 | op=ba6d
Time=450000 | rst=1 | sw=0000 | op=0001
Time=460000 | rst=0 | sw=0000 | op=0001
Time=465000 | rst=0 | sw=0000 | op=0002
Time=475000 | rst=0 | sw=0000 | op=0004
Time=485000 | rst=0 | sw=0000 | op=0008
Time=495000 | rst=0 | sw=0000 | op=0010
Time=505000 | rst=0 | sw=0000 | op=0020
Time=515000 | rst=0 | sw=0000 | op=0040
Time=525000 | rst=0 | sw=0000 | op=0080
Time=535000 | rst=0 | sw=0000 | op=0100
Time=545000 | rst=0 | sw=0000 | op=0200
Time=555000 | rst=0 | sw=0000 | op=0400
$finish called at time : 560 ns : File "C:/Users/user/Desktop/I SEMESTRE 2026/Taller Digitales/CARPETADEGIT/Proyecto-1-Taller-de-diseno-digital-grupo-4/Simon/Simon.srcs/sources_1/new/lsfr_tb.sv" Line 54
